Geneset	Genes
Mavrikaki et al. Downregulated Genes	NREP
Mavrikaki et al. Downregulated Genes	AKIRIN2
Mavrikaki et al. Downregulated Genes	DNAJB5
Mavrikaki et al. Downregulated Genes	IGFBPL1
Mavrikaki et al. Downregulated Genes	ARHGAP20
Mavrikaki et al. Downregulated Genes	GLCE
Mavrikaki et al. Downregulated Genes	VPS37B
Mavrikaki et al. Downregulated Genes	CDH11
Mavrikaki et al. Downregulated Genes	FBN3
Mavrikaki et al. Downregulated Genes	ILDR2
Mavrikaki et al. Downregulated Genes	ENSA
Mavrikaki et al. Downregulated Genes	CALM2
Mavrikaki et al. Downregulated Genes	ST6GAL2
Mavrikaki et al. Downregulated Genes	NXPH2
Mavrikaki et al. Downregulated Genes	GPR17
Mavrikaki et al. Downregulated Genes	POLR2D
Mavrikaki et al. Downregulated Genes	MARCHF4
Mavrikaki et al. Downregulated Genes	EPHA5
Mavrikaki et al. Downregulated Genes	CISD2
Mavrikaki et al. Downregulated Genes	CRHBP
Mavrikaki et al. Downregulated Genes	ADRA2A
Mavrikaki et al. Downregulated Genes	ASAP2
Mavrikaki et al. Downregulated Genes	HOMER1
Mavrikaki et al. Downregulated Genes	USP12
Mavrikaki et al. Downregulated Genes	NRSN1
Mavrikaki et al. Downregulated Genes	PTPRR
Mavrikaki et al. Downregulated Genes	NR4A2
Mavrikaki et al. Downregulated Genes	NRGN
Mavrikaki et al. Downregulated Genes	GPR26
Mavrikaki et al. Downregulated Genes	CXADR
Mavrikaki et al. Downregulated Genes	KLF10
Mavrikaki et al. Downregulated Genes	MFSD14A
Mavrikaki et al. Downregulated Genes	SST
Mavrikaki et al. Downregulated Genes	GALNT14
Mavrikaki et al. Downregulated Genes	PTMS
Mavrikaki et al. Downregulated Genes	CAMK2N1
Mavrikaki et al. Downregulated Genes	ARPC5
Mavrikaki et al. Downregulated Genes	FCMR
Mavrikaki et al. Downregulated Genes	CCNYL1
Mavrikaki et al. Downregulated Genes	CLASP2
Mavrikaki et al. Downregulated Genes	RYBP
Mavrikaki et al. Downregulated Genes	THOC7
Mavrikaki et al. Downregulated Genes	GRIK3
Mavrikaki et al. Downregulated Genes	DUSP7
